Latitude,Longitude,Elevation,Stream Bed Material,Lithology
"27°08'11""","76°12'49""",397,"Rk,Sd",DOLO MARB
"27°07'58""","76°13'39""",389,"G,Sd","DOLO MARB,
QVEIN"
"27°07'50""","76°14'21""",381,"Rk,G,Sd","CALC SILI,
DOLO MARB"
"27°08'15""","76°13'46""",392,"Rk,G,Sd",CALC SILI
"27°08'20""","76°14'23""",404,"G,Sd",AMPH
"27°08'03""","76°14'48""",376,"G,Sd",DOLO MARB
"27°08'22""","76°14'50""",372,"G,Sd","QUART, AMPH"
"27°09'11""","76°00'20""",473,"Aeol,All,Clay","Aeol,All,Clay"
"27°08'47""","76°01'05""",459,"Rk,Sd",QUART
"27°09'47""","76°00'04""",413,"Aeol,All,Clay","Aeol,All,Clay"
"27°09'26""","76°00'42""",434,"Aeol,All,Clay","Aeol,All,Clay"
"27°08'50""","76°00'42""",436,"G,Sd",QUART
"27°09'04""","76°00'42""",410,"G,Sd, Aeol,All,Clay","Aeol,All,Clay,
QUART"
"27°09'38""","76°00'42""",424,"Aeol,All,Clay","Aeol,All,Clay"
"27°09'35""","76°00'42""",404,"Aeol,All,Clay","Aeol,All,Clay"
"27°09'04""","76°02'43""",412,"Aeol,All,Clay","Aeol,All,Clay"
"27°09'02""","76°03'07""",423,"Aeol,All,Clay","Aeol,All,Clay"
"27°09'31""","76°02'45""",422,"Aeol,All,Clay","Aeol,All,Clay"
"27°09'29""","76°03'29""",421,Sd,QUART
"27°09'09""","76°03'59""",398,"Aeol,All,Clay","Aeol,All,Clay,
QUART"
"27°08'37""","76°04'44""",422,"G,Sd",QUART
"27°09'36""","76°04'00""",416,"Aeol,All,Clay",QUART
"27°09'31""","76°04'34""",426,"G,Sd",QUART
"27°08'58""","76°05'01""",423,Sd,"Aeol,All,Clay"
"27°09'06""","76°05'41""",421,"Rk,Sd",QUART
"27°09'28""","76°04'58""",436,"Rk,Sd",QUART
"27°09'37""","76°05'42""",426,"Rk,Sd",QUART
"27°08'46""","76°06'32""",412,Sd,"Aeol,All,Clay"
"27°08'55""","76°06'56""",421,"Rk,Sd",QUART
"27°09'38""","76°06'25""",418,Sd,"Aeol,All,Clay"
"27°09'40""","76°07'00""",426,Sd,"Aeol,All,Clay"
"27°08'55""","76°07'40""",434,"Rk,Sd",QUART
"27°08'54""","76°08'20""",510,Rk,QUART
"27°09'22""","76°07'37""",425,Sd,QUART
"27°09'25""","76°08'15""",450,Rk,QUART
"27°09'03""","76°08'55""",518,G,QUART
"27°09'09""","76°09'16""",428,Sd,QUART
"27°09'31""","76°09'05""",450,"G,Sd",QUART
"27°09'34""","76°09'31""",445,G,QUART
"27°09'05""","76°09'59""",395,G,QUART
"27°08'58""","76°10'30""",405,G,QUART
"27°09'29""","76°09'52""",434,"G,Sd",QUART
"27°09'34""","76°10'31""",418,G,"QUART, DOLO
MARB"
"27°08'54""","76°11'01""",406,Sd,AMPH
"27°08'55""","76°11'49""",398,G,AMPH
"27°09'31""","76°10'59""",436,Sd,"QUART, AMPH"
"27°09'26""","76°11'48""",405,"G,Sd",QUART
"27°08'46""","76°12'20""",406,Sd,"QUART, AMPH"
"27°08'55""","76°12'50""",418,Sd,"QUART, AMPH"
"27°09'38""","76°12'34""",401,Sd,AMPH
"27°09'22""","76°13'09""",403,G,QUART
"27°09'06""","76°13'35""",374,"G,Sd",AMPH
"27°08'52""","76°14'05""",378,"G,Sd","QUART, AMPH"
"27°09'45""","76°13'45""",389,"G,Sd","GRAN,AMPH"
"27°09'31""","76°14'18""",395,"G,Sd","GRAN,AMPH"
"27°08'42""","76°14'37""",390,"G,Sd",AMPH
"27°09'19""","76°14'38""",395,"G,Sd","GRAN,AMPH"
"27°09'58""","76°00'06""",417,"Aeol,All,Clay","Aeol,All,Clay"
"27°10'02""","76°01'02""",417,"Aeol,All,Clay","Aeol,All,Clay"
"27°10'33""","76°00'23""",416,"Aeol,All,Clay","QUART,    Aeol
Sd."
"27°10'24""","76°01'02""",408,"Aeol,All,Clay","Aeol,All,Clay"
"27°10'01""","76°01'19""",403,"Aeol,All,Clay","Aeol,All,Clay"
"27°10'12""","76°02'11""",416,"Aeol,All,Clay","Aeol,All,Clay"
"27°10'49""","76°01'32""",402,"Aeol,All,Clay","Aeol,All,Clay"
"27°10'26""","76°02'09""",416,"Aeol,All,Clay","Aeol,All,Clay"
"27°10'08""","76°02'09""",417,"Aeol,All,Clay","Aeol,All,Clay"
"27°10'19""","76°02'09""",484,"G,Sd",QUART
"27°10'48""","76°02'09""",423,"Aeol,All,Clay","Aeol,All,Clay"
"27°10'41""","76°02'09""",432,"G,Sd",QUART
"27°10'00""","76°03'46""",432,"G,Sd",QUART
"27°10'08""","76°04'30""",438,"G,Sd",QUART
"27°10'42""","76°04'01""",426,"Aeol,All,Clay","Aeol,All,Clay"
"27°10'51""","76°04'24""",428,"Aeol,All,Clay","Aeol,All,Clay"
"27°10'08""","76°05'15""",411,"G,Sd",QUART
"27°10'08""","76°05'42""",411,G,QUART
"27°10'45""","76°05'17""",422,"Aeol,All,Clay","Aeol,All,Clay"
"27°10'31""","76°05'49""",418,"Aeol,All,Clay","Aeol,All,Clay"
"27°10'15""","76°06'22""",405,"Aeol,All,Clay","Aeol,All,Clay"
"27°10'15""","76°06'44""",416,"G,Sd","QUART, DOLO
MARB"
"27°10'44""","76°06'15""",432,"G,Sd",QUART
"27°10'40""","76°06'39""",439,"G,Sd","QUART, DOLO
MARB"
"27°09'52""","76°07'45""",402,Sd,"QUART,    Aeol
Sd."
"27°10'18""","76°08'13""",437,Sd,QUART
"27°10'46""","76°07'22""",428,Sd,"QUART,    Aeol
Sd."
"27°10'47""","76°08'25""",448,G,QUART
"27°09'58""","76°08'58""",482,"G,Sd",QUART
"27°10'13""","76°09'23""",434,"G,Sd",QUART
"27°10'38""","76°09'04""",548,"G,Sd",QUART
"27°10'47""","76°09'20""",434,Sd,QUART
"27°10'10""","76°10'09""",417,Sd,QUART
"27°10'08""","76°10'23""",432,G,QUART
"27°10'43""","76°10'13""",433,"G,Sd",QUART
"27°10'37""","76°10'27""",436,"G,Sd",QUART
"27°09'53""","76°10'57""",438,"G,Sd","QUART, AMPH"
"27°10'07""","76°11'56""",400,Sd,"QUART, AMPH"
"27°10'24""","76°11'15""",421,Sd,"QUART, AMPH"
"27°10'41""","76°12'03""",410,Sd,AMPH
"27°10'00""","76°12'40""",402,"G,Sd","AMPH,    CARB"
"27°09'57""","76°13'07""",397,"G,Sd",AMPH
"27°10'36""","76°12'31""",401,"G,Sd",AMPH
"27°10'24""","76°12'59""",398,"G,Sd","GRAN,   AMPH"
"27°10'28""","76°13'39""",389,"Rk,Sd",AMPH
"27°10'06""","76°13'56""",396,"G,Sd",AMPH
"27°10'28""","76°13'48""",396,"G,Sd","QUART, AMPH"
"27°10'34""","76°14'15""",422,"G,Sd",AMPH
"27°10'04""","76°14'40""",407,"Rk,Sd",AMPH
"27°10'52""","76°14'54""",418,"G,Sd","GRAN, QUART"
"27°11'07""","76°00'18""",414,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'10""","76°00'47""",412,"G,Sd",QUART
"27°11'30""","76°00'27""",408,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'32""","76°00'51""",414,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'09""","76°01'43""",407,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'07""","76°02'12""",408,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'53""","76°01'34""",423,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'49""","76°02'09""",402,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'23""","76°02'46""",418,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'17""","76°03'09""",429,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'56""","76°02'56""",439,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'51""","76°03'26""",435,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'04""","76°04'00""",432,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'18""","76°04'29""",438,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'51""","76°03'59""",441,"G,Sd",QUART
"27°11'48""","76°04'29""",439,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'08""","76°05'16""",436,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'08""","76°05'45""",428,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'31""","76°05'01""",454,"G,Sd",QUART
"27°11'43""","76°05'43""",422,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'08""","76°06'33""",418,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'10""","76°06'53""",446,"G,Sd",QUART
"27°11'43""","76°06'36""",452,"Aeol,All,Clay","Aeol,All,Clay"
"27°11'56""","76°06'40""",441,Sd,Undiff.Sd.
"27°11'02""","76°07'47""",499,"Rk,G,Sd",QUART
"27°11'13""","76°08'04""",498,"Rk,G,Sd",QUART
"27°11'44""","76°07'51""",562,"Rk,G,Sd",QUART
"27°11'42""","76°08'24""",490,"G,Sd",QUART
"27°11'12""","76°08'35""",465,G,QUART
"27°11'10""","76°09'50""",450,"G,Sd",QUART
"27°11'36""","76°08'42""",465,G,QUART
"27°11'46""","76°09'25""",445,G,QUART
"27°11'17""","76°10'16""",450,Sd,QUART
"27°11'07""","76°10'23""",441,Sd,QUART
"27°11'42""","76°10'17""",446,Sd,QUART
"27°11'57""","76°10'34""",492,Sd,QUART
"27°11'07""","76°11'23""",418,Sd,"QUART, AMPH"
"27°11'10""","76°11'39""",416,Sd,AMPH
"27°11'41""","76°11'27""",432,Sd,"QUART, AMPH"
"27°11'38""","76°11'57""",417,"G,Sd","DOLO MARB,
AMPH"
"27°11'04""","76°12'21""",421,"G,Sd",QUART
"27°11'08""","76°13'06""",392,"G,Sd","AMPH, GRAN"
"27°11'43""","76°12'33""",411,Sd,"AMPH,   DOLO
MARB"
"27°11'46""","76°12'55""",405,Sd,AMPH
"27°10'59""","76°13'33""",388,"G,Sd","QUART, AMPH"
"27°11'22""","76°14'25""",418,Sd,QUARTZ VEIN
"27°11'39""","76°13'36""",383,Sd,NOT EXPOSED
"27°11'49""","76°14'15""",421,"Rk,Sd",QUART
"27°11'05""","76°14'54""",430,"G,Sd","QUART, GRAN"
"27°11'30""","76°14'40""",398,Sd,NOT EXPOSED
"27°12'06""","76°00'06""",418,"Aeol,All,Clay","Aeol,All,Clay"
"27°12'19""","76°00'40""",416,"Aeol,All,Clay","Aeol,All,Clay"
"27°12'48""","76°00'19""",419,"Aeol,All,Clay","Aeol,All,Clay"
"27°12'46""","76°00'57""",408,"Aeol,All,Clay","Aeol,All,Clay"
"27°12'30""","76°01'45""",429,Sd,QUART
"27°12'11""","76°02'13""",419,"Sd,Aeol.Sd.",Undiff.Sd.
"27°12'52""","76°01'36""",427,Sd,QUART
"27°12'51""","76°01'53""",418,"St,C","Aeol,All,Clay"
"27°12'16""","76°02'55""",423,"Aeol,All,Clay","Aeol,All,Clay"
"27°12'17""","76°03'28""",437,"Aeol,All,Clay","Aeol,All,Clay"
"27°13'03""","76°02'31""",418,"Aeol,All,Clay","Aeol,All,Clay"
"27°12'56""","76°03'24""",418,"Aeol,All,Clay","Aeol,All,Clay"
"27°12'20""","76°03'53""",452,"Aeol,All,Clay","Aeol,All,Clay"
"27°12'13""","76°04'34""",446,"Sd,Aeol.Sd.",Undiff.Sd.
"27°12'37""","76°03'53""",454,"Aeol,All,Clay","Aeol,All,Clay"
"27°12'56""","76°04'31""",438,"G,Sd",QUART
"27°12'28""","76°05'05""",443,"Aeol,All,Clay","Aeol,All,Clay"
"27°12'07""","76°05'30""",436,"G,Sd",QUART
"27°12'41""","76°05'05""",441,"Aeol,All,Clay","Aeol,All,Clay"
"27°12'42""","76°05'45""",456,G,QUART
"27°12'20""","76°06'27""",444,"Aeol,All,Clay","Aeol,All,Clay"
"27°12'14""","76°06'47""",437,"Aeol,All,Clay","Aeol,All,Clay"
"27°12'53""","76°06'15""",448,"Aeol,All,Clay","Aeol,All,Clay"
"27°12'45""","76°06'46""",442,"Aeol,All,Clay","Aeol,All,Clay"
"27°12'05""","76°07'39""",480,"Rk,Sd",QUART
"27°12'19""","76°08'02""",521,"Rk,G,Sd","QUART, AMPH"
"27°12'47""","76°07'31""",486,"Rk,Sd",QUART
"27°12'45""","76°08'09""",506,"Rk,Sd",QUART
"27°12'17""","76°08'38""",490,G,QUART
"27°12'17""","76°09'38""",470,Sd,QUART
"27°12'50""","76°08'49""",464,Sd,QUART
"27°12'42""","76°09'16""",505,G,QUART
"27°12'18""","76°10'00""",458,Sd,QUART
"27°12'22""","76°10'35""",462,G,QUART
"27°12'48""","76°10'04""",447,G,QUART
"27°12'52""","76°10'35""",483,G,QUART
"27°12'26""","76°11'11""",441,Sd,"QUART, AMPH"
"27°12'26""","76°11'53""",402,Sd,AMPH
"27°12'52""","76°11'19""",438,Sd,"QUART, AMPH"
"27°12'52""","76°11'48""",415,Sd,AMPH
"27°12'23""","76°12'31""",410,Sd,"AMPH,    CARB"
"27°12'10""","76°12'59""",416,"G,Sd","AMPH,    CARB"
"27°12'58""","76°12'12""",400,Sd,"QUART,   MICA
SCHI"
"27°12'39""","76°12'48""",411,Sd,NOT EXPOSED
"27°12'09""","76°13'35""",406,"Rk,Sd",AMPH
"27°12'27""","76°14'24""",429,"Rk,Sd",DOLO MARB
"27°12'50""","76°13'33""",419,"G,Sd","GRAN,   AMPH"
"27°12'58""","76°14'17""",447,"Rk,Sd",CALC SILI
"27°12'20""","76°14'40""",452,"Rk,Sd",DOLO MARB
"27°12'40""","76°14'55""",458,"Rk,Sd",QUART
"27°13'12""","76°00'18""",422,Sd,QUART
"27°13'29""","76°01'01""",421,"Aeol,All,Clay","Aeol,All,Clay"
"27°13'42""","76°00'25""",416,"Aeol,All,Clay","Aeol,All,Clay"
"27°13'52""","76°00'44""",422,"Aeol,All,Clay","Aeol,All,Clay"
"27°13'34""","76°01'43""",424,"Aeol,All,Clay","Aeol,All,Clay"
"27°13'27""","76°01'59""",432,"Rk,Sd",QUART
"27°13'52""","76°01'22""",426,"Rk,Sd",QUART
"27°13'57""","76°02'03""",422,"Aeol,All,Clay","Aeol,All,Clay"
"27°13'22""","76°02'38""",432,"Aeol,All,Clay","Aeol,All,Clay"
"27°13'17""","76°03'25""",436,"Aeol,All,Clay","Aeol,All,Clay"
"27°13'58""","76°02'49""",422,"Aeol,All,Clay","Aeol,All,Clay"
"27°13'59""","76°03'15""",425,"Aeol,All,Clay","Aeol,All,Clay"
"27°13'11""","76°03'55""",433,"Aeol,All,Clay","Aeol,All,Clay"
"27°13'16""","76°04'21""",452,"G,Sd, Aeol.Sd.",QUART
"27°13'45""","76°03'44""",442,"Aeol,All,Clay","Aeol,All,Clay"
"27°13'50""","76°04'32""",443,"Aeol,All,Clay","Aeol,All,Clay"
"27°13'29""","76°05'07""",458,"Aeol,All,Clay","Aeol,All,Clay"
"27°13'09""","76°05'38""",456,"G,Sd",QUART
"27°13'55""","76°05'16""",446,"Aeol,All,Clay","Aeol,All,Clay"
"27°13'47""","76°05'55""",447,"Aeol,All,Clay","Aeol,All,Clay"
"27°13'13""","76°06'12""",458,"Rk,Sd","QUART,    Aeol
Sd."
"27°13'15""","76°07'08""",462,Sd,"Aeol,All,Clay"
"27°13'50""","76°06'18""",458,Sd,"Aeol,All,Clay"
"27°13'52""","76°07'11""",468,Sd,"Aeol,All,Clay"
"27°13'33""","76°07'30""",458,Sd,"Aeol,All,Clay"
"27°13'20""","76°08'20""",480,G,QUART
"27°14'05""","76°07'33""",466,Sd,"Aeol,All,Clay"
"27°13'55""","76°08'15""",476,"Rk,Sd",QUART
"27°13'27""","76°08'50""",470,G,QUART
"27°13'18""","76°09'15""",465,G,QUART
"27°13'47""","76°08'42""",467,G,"QUART,   MICA
SCHI"
"27°13'42""","76°09'40""",454,G,QUART
"27°13'09""","76°10'11""",441,G,QUART
"27°13'22""","76°10'38""",472,G,QUART
"27°14'01""","76°09'56""",437,G,QUART
"27°13'55""","76°10'44""",461,G,QUART
"27°13'21""","76°11'26""",432,Sd,"QUART,   MICA
SCHI"
"27°13'21""","76°11'55""",434,Sd,MICA SCHI
"27°14'01""","76°11'12""",435,"G,Sd","QUART,   MICA
SCHI"
"27°14'05""","76°11'56""",431,"G,Sd","QUART,   MICA
SCHI"
"27°13'16""","76°12'15""",435,Sd,"QUART,
AMPH,SCHI"
"27°13'30""","76°13'00""",419,"G,Sd","GRAN,   AMPH"
"27°13'54""","76°12'34""",418,"Rk,Sd",QUART
"27°13'44""","76°13'20""",422,"G,Sd","QUART,   MICA
SCHI"
"27°13'14""","76°13'31""",422,"Rk,Sd","QUART, GRAN,AMPH"
"27°13'17""","76°14'11""",442,"Rk,Sd",DOLO MARB
"27°14'01""","76°13'56""",454,"Rk,Sd",QUART
"27°13'52""","76°14'16""",463,"G,Sd",QUART
"27°13'29""","76°14'58""",438,"Rk,Sd",AMPH
"27°13'53""","76°14'47""",442,"Rk,Sd",AMPH
"27°14'32""","76°00'13""",418,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'14""","76°01'06""",417,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'50""","76°00'15""",423,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'55""","76°00'47""",422,Sd,"Aeol,All,Clay"
"27°14'39""","76°01'40""",424,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'27""","76°02'05""",423,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'54""","76°01'23""",422,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'53""","76°02'20""",438,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'30""","76°02'34""",421,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'34""","76°03'25""",433,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'50""","76°02'36""",435,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'53""","76°03'24""",432,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'29""","76°03'45""",437,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'32""","76°04'33""",431,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'50""","76°04'09""",443,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'49""","76°04'25""",442,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'36""","76°05'29""",443,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'39""","76°05'42""",439,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'48""","76°05'24""",426,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'54""","76°05'42""",438,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'27""","76°06'19""",443,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'34""","76°06'45""",446,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'52""","76°06'29""",446,"Aeol,All,Clay","Aeol,All,Clay"
"27°14'53""","76°06'52""",464,"G,Sd",QUART
"27°14'31""","76°07'36""",451,Sd,Undiff.Sd.
"27°14'17""","76°08'11""",445,Sd,Undiff.Sd.
"27°14'53""","76°07'26""",462,"Rk,Sd",QUART
"27°14'47""","76°08'10""",438,Sd,Undiff.Sd.
"27°14'14""","76°08'58""",456,G,NOT EXPOSED
"27°14'37""","76°09'14""",433,G,NOT EXPOSED
"27°14'52""","76°08'45""",442,"Sd,Aeol.Sd.",QUART
"27°14'52""","76°09'29""",437,"Sd,Aeol.Sd.",QUART
"27°14'29""","76°10'03""",430,Sd,Undiff.Sd.
"27°14'31""","76°10'35""",435,"G,Sd",QUART
"27°14'53""","76°10'09""",437,Sd,Undiff.Sd.
"27°14'51""","76°10'51""",412,Sd,Undiff.Sd.
"27°14'23""","76°11'09""",417,"G,Sd","QUART,   MICA
SCHI"
"27°14'35""","76°11'48""",418,Sd,"QUART,   MICA
SCHI"
"27°14'51""","76°11'22""",426,Sd,"QUART,   MICA
SCHI"
"27°14'48""","76°11'42""",442,"G,Sd",QUART
"27°14'40""","76°12'15""",478,"Rk,Sd",QUART
"27°14'34""","76°13'09""",433,"Rk,Sd","QUART, DOLO MARB"
"27°14'53""","76°12'18""",436,"Rk,Sd",QUART
"27°14'45""","76°13'05""",431,Sd,DOLO MARB
"27°14'27""","76°13'53""",456,Sd,"QUART, DOLO MARB"
"27°14'19""","76°14'07""",507,"Rk,Sd",QUART
"27°14'47""","76°13'42""",458,"Rk,Sd",QUART
"27°14'57""","76°14'20""",502,"Rk,Sd",QUART
"27°14'25""","76°14'51""",483,"Rk,Sd",QUART
