Latitude,Longitude,Elevation,Stream Bed Material,Lithology
"27°01'15""","76°11'45""",359,"Aeol,All,Clay",Undiff.Sd.
"27°01'51""","76°11'10""",363,"Aeol,All,Clay",Undiff.Sd.
"27°02'03""","76°11'47""",360,"Aeol,All,Clay",Undiff.Sd.
"27°01'17""","76°12'27""",342,"Aeol,All,Clay",Undiff.Sd.
"27°01'33""","76°12'55""",340,"Aeol,All,Clay",Undiff.Sd.
"27°02'03""","76°12'29""",356,"Aeol,All,Clay",Undiff.Sd.
"27°01'57""","76°12'29""",346,"Aeol,All,Clay",Undiff.Sd.
"27°01'29""","76°13'25""",352,"Aeol,All,Clay",Undiff.Sd.
"27°01'16""","76°14'07""",350,"Aeol,All,Clay",Undiff.Sd.
"27°02'06""","76°13'44""",354,"Sd,QV frag.","GRAN,QV, Peg."
"27°01'48""","76°14'30""",348,"Aeol,All,Clay",Undiff.Sd.
"27°01'33""","76°14'35""",345,"Aeol,All,Clay",Undiff.Sd.
"27°02'02""","76°14'55""",344,"Aeol,All,Clay",Undiff.Sd.
"27°02'19""","76°00'09""",438,"G,Sd,Aeol.",QUART
"27°02'41""","76°00'54""",476,"G,Sd",QUART
"27°03'01""","76°00'13""",424,"G,Sd",QUART
"27°02'56""","76°01'00""",426,Sd,QUART
"27°02'29""","76°01'22""",388,"G,Sd",QUART
"27°02'30""","76°02'04""",382,"Aeol,All,Clay",Undiff.Sd.
"27°02'47""","76°01'40""",396,"G,Sd",QUART
"27°03'09""","76°01'51""",402,"G,Sd",QUART
"27°02'21""","76°02'43""",383,"Aeol,All,Clay",Undiff.Sd.
"27°02'19""","76°03'23""",418,"G,Sd",QUART
"27°02'59""","76°02'37""",383,"Aeol,All,Clay",Undiff.Sd.
"27°02'59""","76°03'16""",373,"Aeol,All,Clay",Undiff.Sd.
"27°02'21""","76°03'56""",403,"Rk,Sd",QUART
"27°02'25""","76°04'44""",409,"Rk,Sd",QUART
"27°02'55""","76°03'58""",396,"Rk,Sd,G",QUART
"27°03'10""","76°04'45""",506,"Rk,Sd",QUART
"27°02'18""","76°05'25""",378,"Sd,G","QUART,MB"
"27°02'31""","76°05'40""",376,Sd,"QUART,MB"
"27°03'01""","76°05'09""",461,"Rk,Sd",QUART
"27°03'11""","76°05'55""",378,"Sd,G","QUART,MB"
"27°02'35""","76°06'16""",368,"Sd,G",QUART
"27°02'33""","76°07'07""",371,"Sd,St,C",Undiff.Sd.
"27°03'09""","76°06'13""",376,"Rk,G,Sd",QUART
"27°03'00""","76°06'49""",375,"Sd,St,C",Undiff.Sd.
"27°02'28""","76°07'49""",369,"Sd,St,C",Undiff.Sd.
"27°02'35""","76°08'21""",368,"Sd,St,C",Undiff.Sd.
"27°03'03""","76°07'33""",370,"Sd,St,C",Undiff.Sd.
"27°02'53""","76°08'21""",365,"Sd,St,C",Undiff.Sd.
"27°02'25""","76°08'39""",356,"Sd,St,C",Undiff.Sd.
"27°02'24""","76°09'38""",356,"Sd,St,C",Undiff.Sd.
"27°02'56""","76°08'56""",355,"Sd,St,C",Undiff.Sd.
"27°03'04""","76°09'23""",358,"St,C",Undiff.Sd.
"27°02'17""","76°10'12""",362,"G,Sd",QUART
"27°02'25""","76°10'44""",361,"Aeol,All,Clay",Undiff.Sd.
"27°02'48""","76°09'55""",363,"G,Sd",QUART
"27°03'02""","76°10'40""",359,"Aeol,All,Clay",Undiff.Sd.
"27°02'23""","76°11'16""",362,"Aeol,All,Clay",Undiff.Sd.
"27°02'24""","76°11'43""",364,"Aeol,All,Clay",Undiff.Sd.
"27°02'54""","76°11'09""",367,"Aeol,All,Clay",Undiff.Sd.
"27°02'59""","76°12'02""",349,"Aeol,All,Clay",Undiff.Sd.
"27°02'45""","76°12'33""",348,"Aeol,All,Clay",Undiff.Sd.
"27°02'31""","76°13'02""",337,"Aeol,All,Clay","Undiff.Sd.,
GRAN"
"27°02'50""","76°12'29""",351,"Aeol,All,Clay",Undiff.Sd.
"27°02'45""","76°13'01""",358,"G,Sd","BGC,QUART"
"27°02'31""","76°13'33""",339,"Rk,G,Sd","QUART,
GRAN,AMPH"
"27°02'32""","76°14'11""",335,"Sd,Aeol,All,Clay","BGC,AMPH,
Undiff.Sd."
"27°02'48""","76°13'30""",351,"G,Sd,Aeol","QUART,
GRAN,AMPH"
"27°02'55""","76°14'25""",338,"Aeol,All,Clay",Undiff.Sd.
"27°02'19""","76°14'40""",338,"Aeol,All,Clay",Undiff.Sd.
"27°02'50""","76°14'52""",338,"Aeol,All,Clay",Undiff.Sd.
"27°03'37""","76°00'07""",458,"Aeol,All,Clay",Undiff.Sd.
"27°03'41""","76°00'45""",412,"Aeol,All,Clay",Undiff.Sd.
